,CarParkID,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,lat,lng
0,A2,BLK 206/207 ANG MO KIO STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.366237056,103.8430464
1,A4,BLK 217/220 ANG MO KIO AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.365691621,103.8411922
2,A7,BLK 212/213 ANG MO KIO STREET 23,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.368392487,103.8413018
3,A8,BLK 209/210 ANG MO KIO STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.368756071,103.8433077
4,A9,BLK 202/203 ANG MO KIO STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.36807437,103.8443922
5,B6,BLK 204/209 NEW UPPER CHANGI ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.326330497,103.9303395
6,B7,BLK 211/218 BEDOK NORTH STREET 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.32513124,103.9319217
7,B8,BLK 201/203 BEDOK NORTH STREET 1,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.325881496,103.9282762
8,B9,BLK 402/403 BEDOK NORTH AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.330172709,103.9338152
11,C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.313102659,103.7695739
12,C6,BLK 328-334 CLEMENTI AVE 2,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.314488114,103.7676912
13,C7,BLK 349-355 CLEMENTI AVE 2,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.314842819,103.7705785
14,C8,BLK 335/338 CLEMENTI AVE 2,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.316674657,103.7686311
17,C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.317649249,103.7703123
18,CY,BLK 269/269A/269B CHENG YAN COURT CAR PARK,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.300626028,103.8536649
19,H3,BLK 87 ZION RD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.4,N,1.291008687,103.8325154
20,H4,BLK 22 HAVELOCK RD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.288093897,103.8293714
21,H6,BLK 77/79 GANGES AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.291369664,103.8289836
23,H8,BLKS 4-8 TAMAN HO SWEE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.287726965,103.8309221
25,J1,BLK 101/107 JURONG EAST ST 13,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.4,N,1.336429723,103.7380983
26,J2,BLK 108/110 JURONG EAST ST 13,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.33860776,103.7367713
27,J3,BLK 111/116 JURONG EAST ST 13,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.339494837,103.7354848
28,J4,BLK 201/206 JURONG EAST ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.337530169,103.7419026
29,J5,BLK 207/208 JURONG EAST ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.338314475,103.7424182
30,J6,BLK 209/214 JURONG EAST ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.3390681,103.7388514
31,J7,BLK 215A/231 JURONG EAST ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.341543873,103.7380331
32,J8,BLK 232/240 JURONG EAST ST 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.340430194,103.741574
33,J9,BLK 241/245 JURONG EAST ST 24,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.342122435,103.7420009
34,K2,"BLK 9,10,12 PINE CLOSE",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.308736475,103.8823513
37,K7,BLK 51 OLD AIRPORT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.308894519,103.8860169
38,L1,BLK 415-420 LOR LEW LIAN,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,5.4,N,1.349505832,103.8753546
39,M1,BLK 85 TO 94/92A PIPIT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.323074781,103.8864364
40,M3,BLK 19 TO 21/23/24/30/32 BALAM RD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.330680856,103.8857074
41,M4,BLK 22/34/36 CIRCUIT RD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.329022794,103.8876597
42,P1,BLK 196 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.399325523,103.907016
43,P2,BLK 199 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.400096829,103.9060155
44,P3,BLK 101 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.398456837,103.9057745
45,P4,BLK 105 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.397227162,103.9056229
46,P5,BLK 107 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.396877555,103.9076419
47,P6,BLK 109 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.395368569,103.9094623
48,P7,BLK 119 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.395427967,103.9064702
49,P8,BLK 126 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.394228446,103.9109139
50,P9,BLK 128 PUNGGOL FIELD WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.392923918,103.9125375
53,Q8,BLK 19/23A/23B QUEENS CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.294206414,103.7995693
54,T1,BLK 101/108 TAMPINES ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.347395724,103.9462336
55,T3,BLK 109/114 TAMPINES ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.346598132,103.9474328
56,T4,BLK 124/127 TAMPINES STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.345420018,103.9498142
57,T7,BLK 136/138 TAMPINES ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.345469697,103.9458054
58,T8,BLK 137/139 TAMPINES ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.346414231,103.9441901
59,T9,BLK 140/148 TAMPINES STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.347816332,103.9436467
60,U1,BLK 101/110 BUKIT BATOK WEST AVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.348389703,103.7469815
61,U2,BLK 111/132 BUKIT BATOK WEST AVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.349872484,103.7463093
62,U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.351391957,103.7443516
63,U4,BLK 140/143 BUKIT BATOK STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0.0,N,1.350653565,103.74322
64,U5,BLK 144/149 BUKIT BATOK WEST AVENUE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0.0,N,1.350137241,103.7446779
65,U6,BLK 150/158 BUKIT BATOK STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,9.99,N,1.348029518,103.7441035
66,U7,BLK 159/164 BUKIT BATOK STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.348707664,103.7420927
67,U8,BLK 165/168 BUKIT BATOK WEST AVENUE 8,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.347161979,103.7418946
68,U9,BLK 169/177 BUKIT BATOK WEST AVENUE 8,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.345845573,103.7411926
69,W3,BLK 4A/6A WOODLANDS CENTRE ROAD,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.4406995,103.7695026
70,W4,BLK 6/7 MARSILING DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.442458149,103.7767461
71,W5,BLK 10/13 MARSILING LANE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.440754097,103.7781943
72,W6,BLK 15/16 MARSILING LANE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.0,N,1.442102474,103.777954
73,W7,BLK 17/21 MARSILING LANE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0.0,N,1.443136124,103.7776083
74,Y1,BLK 101/102 YISHUN AVE 5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0.0,N,1.430844543,103.8280357
75,Y2,BLK 103/111 YISHUN RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0.0,N,1.432166554,103.8280589
76,Y3,BLK 112/120 YISHUN RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.434711422,103.8288865
78,Y4,BLK 121/143 YISHUN STREET 11/RING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.434754103,103.8315408
81,Y5,BLK 144/149 YISHUN STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.431114532,103.8321076
82,Y6,BLK 150/161 YISHUN STREET 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.432523042,103.8341941
84,Y7,BLK 701/716 & 701B YISHUN AVENUE 5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.427301818,103.8274505
86,Y8,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.429444919,103.8312781
89,Y9,BLK 747/752 YISHUN STREET 72,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.427830914,103.8340126
90,A10,BLK 201/202 ANG MO KIO STREET 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.368632982,103.844524
91,A11,BLK 223/226/226A-226D ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.367035534,103.8381811
92,A12,BLK 229/230 ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.368509827,103.8386753
93,A13,BLK 232/233 ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.368000222,103.8368096
94,A15,BLK 226E-226H ANG MO KIO ST 22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.36696761,103.8404175
95,A20,BLK 304/307/319 ANG MO KIO ST 31,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.364943381,103.8484571
96,A21,BLK 325/326/301 ANG MO KIO STREET 31,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.368127559,103.8463132
97,A24,BLK 338/340 ANG MO KIO ST 32,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.364753412,103.8493977
98,A25,BLK 330/337 ANG MO KIO AVE 8,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.362769307,103.8516275
99,A27,BLK 108/109/110 ANG MO KIO ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.370363052,103.8383207
100,A28,BLK 103/105/107 ANG MO KIO ST 11,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.371649928,103.8374643
101,A29,BLK 347 ANG MO KIO AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.367361242,103.8487183
102,A30,BLK 129/134 ANG MO KIO STREET 12,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.370989747,103.842419
103,A31,BLK 119/128 ANG MO KIO ST 12,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.370451119,103.8436999
104,A33,BLK 253/254 ANG MO KIO STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.369886364,103.8345405
105,A34,BLK 422/425 ANG MO KIO ST 42,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.368356473,103.8516674
106,A35,BLK 426/428/435 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.368646393,103.8540815
107,A36,BLK 436/443/445 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.366407128,103.8552788
108,A37,BLK 446/449/453 ANG MO KIO ST 43,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.368113068,103.8555566
109,A38,BLK 407/410/421 ANG MO KIO AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.363963706,103.8545884
110,A39,BLK 401/405 ANG MO KIO AVE 10,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.361151022,103.8540722
111,A40,BLK 471/476 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.362356151,103.8569821
112,A41,BLK 466/470 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.364936935,103.8569326
113,A42,BLK 461/465 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.366580182,103.8573639
114,A43,BLK 457/458/460 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.365996736,103.8592673
115,A44,BLK 459/456 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.367205743,103.8589905
116,A45,BLK 570/578 ANG MO KIO ST 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.370917693,103.8552305
117,A47,BLK 562/565/560 ANG MO KIO STREET 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.370558167,103.8592466
118,A48,BLK 571/73 ANG MO KIO ST 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.370371281,103.8546523
119,A49,BLK 555/559 ANG MO KIO STREET 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.371329606,103.8577971
120,A50,BLK 548/552/556 ANG MO KIO STREET 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.372522464,103.8576096
121,A51,BLK 252/253A ANG MO KIO STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.4,N,1.369470739,103.8343753
122,A52,BLK 701/716 ANG MO KIO AVE 3/6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.370385433,103.8469225
123,A53,BLK 712A ANG MO KIO AVE 3/6,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.8,N,1.370865023,103.8468773
124,A54,BLK 727/728 ANG MO KIO AVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.372434359,103.8459154
125,A59,BLK 547/551 ANG MO KIO ST 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,1.373896221,103.8581398
126,A60,BLK 540/546 ANG MO KIO ST 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.374464495,103.8559134
127,A61,BLK 520/534/529 ANG MO KIO AVE 5/10,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.374170446,103.85216
128,A63,BLK 501/513/508 ANG MO KIO ST 52/53,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.375176821,103.8493957
129,A64,BLK 584/586 ANG MO KIO ST 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.370506585,103.8534735
130,A65,BLK 558/560 ANG MO KIO STREET 54,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.371029159,103.8594172
131,A66,BLK 601/604/603 ANG MO KIO AVE 5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.380544931,103.8356606
132,A67,BLK 605/612 ANG MO KIO AVE 4/5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.379686324,103.8378049
133,A68,BLK 620/624/626 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.381897619,103.8398542
134,A69,BLK 623/625/627 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.381641458,103.8419454
135,A70,BLK 629/626 ANG MO KIO AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.380620641,103.8401072
136,A71,BLK 628/632 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.380009094,103.8407419
137,A72,BLK 633/640 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,1.380760963,103.8435303
138,A73,BLK 641/645 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.378848189,103.8408247
139,A74,BLK 646/649 ANG MO KIO ST 61,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.37865168,103.8438047
140,A75,BLK 177/182 ANG MO KIO AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.376086591,103.8385877
141,A76,BLK 613A ANG MO KIO AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2.0,N,1.377977112,103.8388348
142,A77,BLK 150/156 ANG MO KIO AVE 5,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.376251001,103.8399554
143,A78,BLK 157/163 ANG MO KIO AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.374648501,103.8383868
144,A81,BLK 170/172 ANG MO KIO ST 13,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.374355553,103.8364788
145,A82,BLK 173/176 ANG MO KIO AVE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.375674922,103.8363987
146,A85,BLK 340 ANG MO KIO ST 32,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.365107378,103.8497094
147,A87,BLK 462/463 ANG MO KIO ST 44,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.366826359,103.8578842
148,A88,BLK 348 ANG MO KIO AVE 3,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,1.366280716,103.8472665
149,A94,BLK 104C ANG MO KIO STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.371859827,103.838316
150,A98,BLK 259 ANG MO KIO AVE 2,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.369164311,103.8318542
151,ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y,1.301063272,103.854118
152,ACM,BLK 98A ALJUNIED CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N,1.32100429,103.8850609
155,AH1,BLK 101 JALAN DUSUN,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.328283495,103.8446199
